,VWAP,TWAP,Almgren
0.00 ,834214.90 ,766929.16 ,1671001.10 
1.00 ,-1033931.97 ,-1163224.41 ,-34476340.90 
2.00 ,1903483.64 ,1819979.46 ,-45455861.68 
3.00 ,6457905.17 ,6369075.33 ,-20250803.93 
4.00 ,8770838.56 ,8955711.44 ,-3641938.09 
5.00 ,7127497.57 ,7597323.17 ,-18779802.43 
6.00 ,5146552.43 ,5233836.81 ,5252551.85 
7.00 ,-4333942.46 ,-4429494.07 ,-3684459.48 
8.00 ,-7547346.83 ,-7489140.11 ,-35599249.74 
9.00 ,-4874071.52 ,-6160178.25 ,-45519167.66 
10.00 ,-11178287.17 ,-10751777.39 ,-41297244.55 
11.00 ,-18893634.01 ,-18666407.94 ,-29889246.51 
12.00 ,-15358006.93 ,-15387598.84 ,-15390978.73 
13.00 ,-14659012.12 ,-14909046.03 ,-35558907.23 
14.00 ,-10699384.83 ,-10281994.53 ,-10828551.25 
15.00 ,-12745724.69 ,-12886182.05 ,-12682581.92 
16.00 ,-13982982.70 ,-13620194.65 ,-39544939.36 
17.00 ,-12800880.89 ,-12031902.07 ,-45716259.66 
18.00 ,-15136117.14 ,-14920021.59 ,-39077861.88 
19.00 ,-13988328.45 ,-14305195.57 ,-37345669.41 
20.00 ,-13929882.80 ,-13727376.25 ,-13589371.35 
21.00 ,-15438644.93 ,-15437089.05 ,-36699843.82 
22.00 ,-11475970.49 ,-11284837.67 ,-11484470.45 
23.00 ,-17558049.83 ,-17301159.17 ,-28080842.10 
24.00 ,-20447059.20 ,-20526022.81 ,-20624319.97 
25.00 ,-17810924.55 ,-17914731.66 ,-43388500.53 
26.00 ,-16428964.35 ,-16398513.84 ,-28257334.52 
27.00 ,-9926081.19 ,-10655264.47 ,-37438114.54 
28.00 ,-4760924.79 ,-4903826.56 ,-4075402.27 
29.00 ,-5699086.37 ,-5832289.04 ,-18752608.02 
